,SOURCE_ID_PRIMARY,ra1,dec1,mag1,MAG1,PARALLAX1,parallax_error1,DIST1,RUWE1,PMRA1,PMRA_ERROR1,PMDEC1,PMDEC_ERROR1,BminusR1,mass_calc1,mass_flame1,mass_flame_upper1,mass_flame_lower1,age_flame1,age_flame_upper1,age_flame_lower1,PROB1,SOURCE_ID_SECONDARY,ra2,dec2,mag2,MAG2,PARALLAX2,parallax_error2,DIST2,RUWE2,PMRA2,PMRA_ERROR2,PMDEC2,PMDEC_ERROR2,BminusR2,mass_calc2,mass_flame2,mass_flame_upper2,mass_flame_lower2,age_flame2,age_flame_upper2,age_flame_lower2,PROB2,DIST,RA_MEAN,DEC_MEAN,vRA,vRAerr,vDEC,vDECerr,V2D,Log10vRA,Log10vDEC,Log10r,r,M
435,6.735553050019963e+18,280.4253338503385,-33.647894372690494,6.949158930522309,6.949158930522309,8.893011576043527,0.017196599394083023,112.44784642964525,1.1247745752334595,-54.59555451203137,0.01714380830526352,19.408959001249507,0.013820906169712543,1.4691896438598633,0.7438825686907895,0.7492563128471375,0.7892672419548035,0.7092347145080566,1.525905966758728,3.9389376640319824,0.20000000298023224,0.008642615750432014,6.735553050022301e+18,280.42653528681524,-33.64862779829719,6.967051711694004,6.967051711694004,8.950987680651577,0.016473308205604553,111.7195147259108,1.0166233777999878,-53.84644218947441,0.015695344656705856,19.148331654291205,0.012146687135100365,1.4595460891723633,0.7418130513417882,0.7485023736953735,0.788509726524353,0.7084989547729492,0.32324621081352234,2.7085564136505127,0.20000000298023224,0.007863456383347511,112.08368057777803,280.42593456857685,-33.64826108549384,0.7752500676954451,0.12619727311221074,0.27253872022719955,"(0.052464832237696546,)",0.8217603187577702,-0.11055818716769888,-0.5645717877491334,-2.615074253494323,0.002426195240913636,1.497758686542511
436,6.734421175859073e+18,276.3290079971042,-35.255242150511876,6.15909232373812,6.15909232373812,10.119824829344626,0.018885061144828796,98.8159396890234,0.7377631068229675,70.46003765533487,0.023587113246321678,-35.07690588220473,0.016671471297740936,1.1282472610473633,0.7917094094092426,0.7809765934944153,0.8211330771446228,0.7408414483070374,8.53062915802002,10.729969024658203,6.3092803955078125,0.07873209565877914,6.734421034076466e+18,276.30866592360667,-35.27677558035913,8.486926111094398,8.486926111094398,10.136138641386294,0.022451326251029968,98.65689838899367,0.9166610836982727,70.09201400218869,0.026799878105521202,-34.90028944219361,0.021189577877521515,1.9871149063110352,0.5867818922338468,0.5742009282112122,0.6142101883888245,0.5341942310333252,13.074326515197754,13.5,7.743004322052002,0.18951533734798431,98.73641903900852,276.31883696035544,-35.2660088654355,0.2614612104287706,0.1577692839265085,0.15982522006127303,"(0.08452732724841915,)",0.30644096580991287,-0.5825927325951612,-0.7963546889192457,-1.3291631959380492,0.04686372480478453,1.3551775217056274
437,6.760991595867552e+18,285.1356925974901,-29.12406778374803,5.528698670801276,5.528698670801276,9.496346661313737,0.018628960475325584,105.30365367492372,1.1362342834472656,4.174420830353655,0.020921558141708374,-35.558139330236436,0.016279980540275574,1.004685401916504,0.8795678494687558,0.8592075705528259,0.8996368646621704,0.8189713358879089,7.524969100952148,9.219318389892578,5.7811479568481445,0.02705409564077854,6.760991591573966e+18,285.1362202216959,-29.123879082770298,5.74281385636991,5.74281385636991,9.499487856882544,0.018390458077192307,105.26883291665904,1.0317144393920898,7.8577937873692605,0.02160741575062275,-33.88804309748843,0.016224650666117668,0.9462499618530273,0.8486839624617849,0.0,0.0,0.0,0.0,0.0,0.0,0.06336898356676102,105.28624329579138,285.135956409593,-29.123973433259163,1.8367366410363712,0.03290225738244326,0.8451815232851388,"(0.08377413417332172,)",2.0218638173299803,0.2640468898147474,-0.0730500057311987,-3.038479835191684,0.0009152087525235235,1.7078915330146107
438,6.756796546685749e+18,286.073119800028,-32.35427968418346,6.339195814275729,6.339195814275729,14.123449910139994,0.016019441187381744,70.8042302951806,0.9872631430625916,-8.274288823948869,0.0156564824283123,-6.2124190078281085,0.013335471972823143,1.1983842849731445,0.7682601442385478,0.0,0.0,0.0,0.0,0.0,0.0,0.12193932384252548,6.756796512326012e+18,286.05887028356454,-32.366834220302124,6.587078549353037,6.587078549353037,14.097279134096267,0.017082171514630318,70.93567421683227,0.9466242790222168,-8.400845189296776,0.016378702595829964,-6.278513332106668,0.013838349841535091,1.2810115814208984,0.7371176412293509,0.7352094650268555,0.7788339257240295,0.6942058801651001,10.687873840332031,13.5,6.004354476928711,0.021405618637800217,70.86995225600643,286.06599504179627,-32.36055695224279,0.05781961277631766,0.017334078608741702,0.0357933854102913,"(0.014051382668010674,)",0.06800201512259008,-1.237924821168848,-1.4461972232228488,-1.6673020090811106,0.021512852072482415,1.5034696092654034
439,6.767824991900988e+18,294.21204726331393,-25.408303602796632,4.649936600785414,4.649936600785414,8.741521933502828,0.019435815513134003,114.39655561206017,1.0785949230194092,-12.435725744548794,0.019881512969732285,-20.98799389956422,0.017073025926947594,0.8433418273925781,1.0185435348115333,0.8956131339073181,0.9356393814086914,0.8556051254272461,0.0,0.0,0.0,0.0894007608294487,6.767824991898456e+18,294.21293639049014,-25.407662591246492,5.810008833358026,5.810008833358026,8.701762081725386,0.026333024725317955,114.9192532050612,1.1327102184295654,-11.38853981842685,0.03293861448764801,-22.23383536527724,0.02205497771501541,1.0843477249145508,0.8392171677553623,0.0,0.0,0.0,0.0,0.0,0.0,0.048725761473178864,114.65790440856068,294.212491826902,-25.407983097021564,0.5088928431680614,0.062488376591125966,0.78238804234481,"(0.08322517312568137,)",0.9333289744949619,-0.29337365679908634,-0.10657779572473683,-2.6869053944468453,0.002056338494498256,1.7348303016626803
440,6.749756094546975e+18,302.21836905443865,-28.944830482774854,6.949534577842107,6.949534577842107,10.920755201115751,0.01400711853057146,91.56875889845347,0.9199303984642029,-1.5633779216308645,0.01599644310772419,20.215895861441837,0.010781697928905487,1.4282913208007812,0.7438390569608611,0.721307098865509,0.7613489627838135,0.6812580823898315,6.72893762588501,9.457311630249023,3.9979071617126465,0.022306915372610092,6.749756098844995e+18,302.2216080100679,-28.946386575717423,8.565135644863297,8.565135644863297,10.895807483499269,0.015335062518715858,91.77842041669798,0.9650375247001648,-1.1775646702530782,0.01630767621099949,18.29975771719878,0.012405614368617535,2.010594367980957,0.5798191673052512,0.0,0.0,0.0,0.0,0.0,0.0,0.18951533734798431,91.67358965757572,302.2199885322533,-28.945608529246137,0.1661385017637507,0.01562867916197319,0.7940395826162665,"(0.0325351053164355,)",0.8112341588775207,-0.7795297103187748,-0.10015784759387857,-2.286217815701408,0.005173472969297751,1.30112626617076
441,6.771784470713077e+18,294.081474279171,-22.646236368952113,5.577530700158562,5.577530700158562,8.68806840001531,0.016089512035250664,115.10038295718734,0.9196143746376038,5.7579730071084025,0.017025452107191086,-5.879098966284413,0.014072192832827568,0.9629611968994141,0.8724268523784113,0.0,0.0,0.0,0.0,0.0,0.0,0.04517154023051262,6.771784436353337e+18,294.07742929993486,-22.652254544427628,9.10366230269852,9.10366230269852,8.597717357669975,0.024772517383098602,116.30994116222088,1.096463680267334,5.825931848135259,0.025498468428850174,-6.397959383328183,0.01908029429614544,2.156686782836914,0.5342665625162533,0.5297377109527588,0.5697453618049622,0.48973241448402405,1.1450046300888062,7.89617919921875,0.20000000298023224,0.18951533734798431,115.70516205970411,294.07945178955293,-22.64924545668987,0.10425788552426989,0.03841820492730864,0.3518296995141393,"(0.03429961572792191,)",0.36695210062650047,-0.9818910873358538,-0.4536675025968987,-1.8446173736294622,0.014301534113629734,1.4021645633311701
442,6.77683473377474e+18,316.70710937801846,-36.51104459529751,4.769940043333777,4.769940043333777,9.560535657178646,0.01910031959414482,104.59664979640944,0.9319591522216797,-78.94501085961,0.01639045961201191,-54.72602597019611,0.016575820744037628,0.7975835800170898,0.9983420108039148,0.9812814593315125,1.0213065147399902,0.941264271736145,4.981175422668457,6.046989440917969,3.9145400524139404,0.10324709862470627,6.776834733773886e+18,316.7065832764657,-36.51011781839744,5.310231694896748,5.310231694896748,9.534705246137152,0.015405051410198212,104.88001193378636,0.8509505987167358,-79.5364966019708,0.013158240355551243,-57.511253640068716,0.01365328673273325,0.8965473175048828,0.9122380902291845,0.0,0.0,0.0,0.0,0.0,0.0,0.07025983184576035,104.73833086509791,316.7068463272421,-36.510581206847476,0.5062999715763331,0.15674680117848422,1.5307002737365334,"(0.11540508951321378,)",1.61226021139123,-0.295592096994439,0.18489015986500967,-2.729976893277368,0.001862186212007869,1.893519549560697
443,6.818838723653448e+18,331.18694694359243,-23.193833133371644,4.71609533079495,4.71609533079495,8.495653892431212,0.01997360959649086,117.70724333425366,0.8304857611656189,12.237175891771537,0.016827644780278206,-2.073881727725588,0.014040462672710419,0.8162117004394531,1.0073562574660777,1.0072122812271118,1.0555064678192139,0.961783766746521,3.9996769428253174,5.687468528747559,2.138467311859131,0.0894007608294487,6.818838719358649e+18,331.1855344354522,-23.191398846412575,6.739683226118359,6.739683226118359,8.501262543901033,0.013046002015471458,117.62958676266491,0.8608882427215576,11.518115878774791,0.012149354442954063,-1.4563200127432292,0.010159121826291084,1.3468170166015625,0.7185764271575332,0.7129780054092407,0.7529780268669128,0.6729763746261597,0.0,0.0,0.0,0.04517154023051262,117.66841504845928,331.1862406895223,-23.19261598989211,0.4096525346426871,0.04206979789326254,0.34541989457560174,"(0.017464423621594522,)",0.5358452227162221,-0.3875843536864916,-0.46165265271070244,-2.246727993555784,0.005665940459717542,1.7201902866363525
444,6.863224771117642e+18,308.61425897032757,-16.043937880452333,5.597265149973504,5.597265149973504,9.14157492580382,0.015879975631833076,109.39034117385084,0.9233498573303223,-14.619448981144895,0.015882665291428566,11.458683781837323,0.011784144677221775,1.014927864074707,0.8695574426584601,0.846031665802002,0.8861289620399475,0.8059346675872803,9.157033920288086,10.862037658691406,7.462046146392822,0.10324709862470627,6.863224766822616e+18,308.6135775159616,-16.04311037850713,7.068378353763267,7.068378353763267,9.130456603095968,0.01259232684969902,109.52354777754691,0.9184728860855103,-16.38766789318605,0.012515733949840069,12.234543858780562,0.009435741230845451,1.4956302642822266,0.7302093061502727,0.7220765948295593,0.7621132135391235,0.682020366191864,6.89315128326416,9.640481948852539,4.179959297180176,0.0347529761493206,109.45694447569888,308.61391824314455,-16.04352412947973,0.936653380192635,0.039633881571491225,0.4175025094682308,"(0.030089320945455276,)",1.025489102837548,-0.028421095259366848,-0.37934090977336166,-2.695501039827294,0.0020160391436745556,1.5681082606315613
